position_code,area,department,position,degree,major,number_of_recruits,number_of_applicants
300001,省直,省委办公厅,综合文字,研究生,经济学门类、法学门类、文学门类、历史学门类,2,103
300002,省直,省委党史研究院（省地方志研究院）,中共党史研究,研究生,马克思主义理论（一级学科）、中共党史党建学（一级学科）,1,27
300003,省直,省委党史研究院（省地方志研究院）,地方志研究,研究生,历史学（一级学科）,3,59
300004,省直,省委党史研究院（省地方志研究院）,综合文字,研究生,中国语言文学（一级学科）、新闻传播学（一级学科）,1,45
300005,省直,省政府办公厅,法规审查,研究生,法学（一级学科）,1,11
300006,省直,省政府办公厅,机关综合,研究生,系统科学（一级学科）、建筑学（一级学科）、交通运输工程（一级学科）、农业工程（一级学科）、林业工程（一级学科）、环境科学与工程（一级学科）、土木工程（一级学科）、水利工程（一级学科）、控制科学与工程（一级学科）、计算机科学与技术（一级学科）、电子信息（一级学科）、信息与通信工程（一级学科）、测绘科学与技术（一级学科）,2,133
300007,省直,省政府办公厅省直机关老干部第二活动室,法规审查,本科,法学类,1,13
300008,省直,省政府办公厅省直机关老干部第二活动室,组织宣传,研究生,不限,1,156
300009,省直,省政府办公厅省直机关老干部第二活动室,综合文字,本科,不限,1,195
300010,省直,省发展改革委,机关综合,研究生,国民经济学（二级学科）、区域经济学（二级学科）、产业经济学（二级学科）、数量经济学（二级学科）、汉语言文字学（二级学科）、机械电子工程（二级学科）、建筑技术科学（二级学科）、交通运输规划与管理（二级学科）,5,113
300011,省直,省粮食和物资储备局,政策法规,研究生,法学（一级学科，不含军事法学二级学科）,1,23
300012,省直,省粮食和物资储备局,机关综合,研究生,经济学门类,1,37
300013,省直,省粮食和物资储备局,机关综合,研究生,粮食、油脂及植物蛋白工程（二级学科）、食品科学（二级学科）、农产品加工及贮藏工程（二级学科）,1,29
300014,省直,省科技厅,科技管理,研究生,金融学（二级学科）、企业管理（二级学科）、金融硕士（专业硕士）,2,119
300015,省直,省经信厅,企业管理服务,研究生,工学门类,3,338
300016,省直,省经信厅,产业管理,研究生,机械工程（一级学科）、电子科学与技术（一级学科）、控制科学与工程（一级学科）,2,137
300017,省直,省经信厅,非煤矿山管理,研究生,矿业工程（一级学科）,1,30
300018,省直,省经信厅,无线电管理,研究生,信息与通信工程（一级学科）,1,15
300019,省直,省经信厅,民爆行业管理,本科,弹药工程与爆炸技术专业、化工安全工程专业、安全工程专业,1,97
300020,省直,省经信厅,档案管理,本科,图书情报与档案管理类,1,47
300021,省直,省经信厅,服务保障,本科,临床医学专业、中医学专业、中医康复学专业,1,104
300022,省直,省经信厅省节能监察中心,节能监察,研究生,动力工程及工程热物理（一级学科）、控制科学与工程（一级学科）、环境科学与工程（一级学科）,1,46
300023,省直,省民委（省宗教局）,机关综合,本科,经济学类、法学类、中国语言文学类、民族学类、哲学类,4,217
300024,省直,省公安厅,人民警察政策研究,研究生,法学（一级学科，不含军事法学二级学科）,1,17
300025,省直,省公安厅,人民警察财会,研究生,会计学（二级学科）、企业管理（财务管理方向，二级学科）、会计硕士（专业硕士）、审计硕士（专业硕士）,2,22
300026,省直,省公安厅,人民警察信息通信,研究生,信息与通信工程（一级学科）、计算机科学与技术（一级学科）、软件工程（一级学科）、网络空间安全（一级学科）,3,31
300027,省直,省公安厅,人民警察信息通信,研究生,信息与通信工程（一级学科）、计算机科学与技术（一级学科）、软件工程（一级学科）、网络空间安全（一级学科）,4,41
300028,省直,省财政厅,财政金融管理,研究生,国民经济学（二级学科）、区域经济学（二级学科）、财政学（二级学科）、金融学（二级学科）、产业经济学（二级学科）、国际贸易学（二级学科）、劳动经济学（二级学科）、统计学（二级学科）、数量经济学（二级学科）、应用统计硕士（专业硕士）、税务硕士（专业硕士）、审计硕士（专业硕士）,2,86
300029,省直,省财政厅,涉农财政管理,研究生,作物学（一级学科）、园艺学（一级学科）、农业资源与环境（一级学科）、植物保护（一级学科）、农林经济管理（一级学科）,1,86
300030,省直,省财政厅,财政管理,研究生,会计学（二级学科）、企业管理（二级学科）、会计硕士（专业硕士）,2,69
300031,省直,省财政厅,财政信息化管理,研究生,计算机科学与技术（一级学科）,1,36
300032,省直,省财政厅,财政数据分析,研究生,数学（一级学科）,1,26
300033,省直,省财政厅,财政信息宣传,研究生,新闻传播学（一级学科）、新闻与传播硕士（专业硕士）,1,51
300034,省直,省人社厅,机关综合,本科,经济学类（不含特设专业）、法学类（不含特设专业）、中国语言文学类（不含特设专业）、新闻传播学类（不含特设专业）,2,129
300035,省直,省自然资源厅,土地资源与规划管理,本科,土地资源管理专业、城乡规划专业、土地整治工程专业,1,96
300036,省直,省自然资源厅,矿政管理,本科,地质学专业、地质工程专业、勘查技术与工程专业、资源勘查工程专业、采矿工程专业,1,121
300037,省直,省农业农村厅,经济管理与农业对外合作,研究生,会计学（二级学科）、企业管理（市场营销方向，二级学科）、农业经济管理（二级学科）,2,46
300038,省直,省农业农村厅省农村合作经济经营管理总站,经济管理,研究生,理论经济学（一级学科）、应用经济学（一级学科）、农业经济管理（二级学科）,2,46
300039,省直,省农业农村厅省农产品质量安全管理站,农产品质量安全管理,研究生,食品科学与工程（一级学科）,1,18
